state,district,month,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,wind_direction,rain_probability,rain_duration_hours
Uttar Pradesh,Lucknow,Sep-23,346,33,25,29,58,8.3,21.2,NW,64%,3
Karnataka,Mysuru,Nov-22,72.1,28,23,25.5,82,7.9,12.7,N,17%,2.5
Karnataka,Mangaluru,Mar-20,15.3,34,22,28,40,6.5,18,SE,61%,4.2
Uttar Pradesh,Varanasi,Jul-21,344.7,37,25,31,85,4.7,14.5,W,18%,3.4
Uttar Pradesh,Lucknow,Dec-22,8.6,26,17,21.5,35,6.2,14.8,S,22%,1.2
Gujarat,Surat,Jun-23,169.2,26,17,21.5,53,7.3,6.9,E,45%,4.4
Karnataka,Bengaluru,Feb-22,18.5,29,24,26.5,78,8.6,21.9,SW,60%,1.5
Tamil Nadu,Chennai,Jun-21,360.3,33,23,28,41,8.2,18.1,SW,85%,4
Karnataka,Bengaluru,Feb-23,71.9,28,20,24,67,4.9,20.4,NE,42%,3.7
Maharashtra,Pune,Feb-21,9,33,26,29.5,78,5,6.7,NE,38%,3.7
Maharashtra,Pune,Oct-21,7.3,37,26,31.5,33,6.9,16.6,SW,48%,1
Tamil Nadu,Coimbatore,Feb-20,52.4,40,28,34,61,6.8,17.9,SE,79%,3.4
Tamil Nadu,Coimbatore,Jun-23,193.5,36,29,32.5,48,6,13.7,E,24%,3.3
Tamil Nadu,Coimbatore,Nov-24,50.7,39,30,34.5,36,8.2,17.2,NW,70%,3.8
Tamil Nadu,Chennai,Mar-24,1.8,28,17,22.5,63,7.6,8.5,E,59%,2.2
Karnataka,Hubli,Sep-24,187.3,35,28,31.5,72,4.4,12.4,S,12%,2.6
Karnataka,Mangaluru,Jun-21,101,42,33,37.5,65,8.3,10,E,46%,3.5
Uttar Pradesh,Kanpur,Mar-24,2.7,41,36,38.5,50,9.9,23.1,W,23%,2.5
Tamil Nadu,Madurai,Mar-24,20.5,38,31,34.5,70,7.9,5.6,SW,25%,1.7
Uttar Pradesh,Varanasi,Oct-21,79.4,31,23,27,47,6.1,9.3,NW,70%,3.8
Tamil Nadu,Chennai,Apr-23,7.6,25,13,19,50,6.1,9.8,W,40%,0.2
Gujarat,Ahmedabad,Dec-24,63.5,30,25,27.5,49,9.8,7.1,N,58%,2.8
Gujarat,Vadodara,Sep-21,291.3,33,26,29.5,61,6.6,21,W,19%,5
Maharashtra,Pune,Dec-20,24.2,42,31,36.5,62,8.1,11.2,NE,41%,3.8
Uttar Pradesh,Agra,Dec-23,48.5,33,27,30,58,8.2,7.3,E,75%,2.2
Gujarat,Rajkot,Jul-20,71.6,35,29,32,59,9.8,17,SW,53%,0.1
Tamil Nadu,Coimbatore,May-20,11.1,32,22,27,43,6.1,11.8,NE,48%,2.9
Gujarat,Ahmedabad,Feb-24,59,29,19,24,58,7.5,15,NW,58%,3.6
Uttar Pradesh,Kanpur,Nov-22,67.3,34,22,28,56,5.2,7.8,NE,39%,4.3
Uttar Pradesh,Varanasi,Jan-23,48.7,36,30,33,75,6.6,20,NE,53%,3
Uttar Pradesh,Varanasi,Sep-20,380.3,32,23,27.5,67,6.6,16.2,SE,52%,1.9
Uttar Pradesh,Kanpur,Aug-20,40.7,26,17,21.5,49,4.5,21.2,N,82%,3.3
Gujarat,Rajkot,Apr-24,58.3,33,22,27.5,55,4.7,22.7,W,62%,2.8
Uttar Pradesh,Lucknow,Dec-23,11.2,37,26,31.5,33,7.7,18.5,E,67%,3.3
Uttar Pradesh,Lucknow,Dec-21,11.3,29,18,23.5,86,4.4,10.4,W,41%,5
Karnataka,Bengaluru,Feb-24,38,32,21,26.5,88,8.4,12.5,E,59%,3.5
Karnataka,Mysuru,Jan-20,57.9,28,23,25.5,34,9.8,18.3,SE,57%,2.5
Tamil Nadu,Chennai,Oct-20,42,25,14,19.5,90,7.9,15.6,S,53%,3.3
Gujarat,Ahmedabad,Mar-20,75,42,31,36.5,69,9.1,21.3,W,70%,0.3
Tamil Nadu,Chennai,Feb-21,58.7,36,26,31,43,7.9,18.6,N,42%,3
Uttar Pradesh,Lucknow,Jan-20,47,26,17,21.5,59,8.5,8.6,NE,83%,3.6
Karnataka,Mysuru,Nov-24,70.2,37,31,34,47,7.3,18.7,N,38%,4
Tamil Nadu,Madurai,Feb-22,7.4,37,25,31,44,6.9,15.2,SE,64%,0.2
Maharashtra,Nashik,Oct-23,54.3,39,28,33.5,67,8.1,6.6,NE,48%,4.8
Maharashtra,Nashik,Dec-22,17,27,19,23,57,8.4,7.2,E,78%,1.4
Tamil Nadu,Chennai,Sep-20,234.6,36,30,33,65,5.3,8.9,W,39%,3.2
Gujarat,Rajkot,Jul-24,367.9,25,15,20,52,7.6,22.5,W,13%,1
Karnataka,Mysuru,Jun-24,387.2,34,27,30.5,51,9.7,11.7,E,20%,3.4
Maharashtra,Nashik,Jun-20,214.3,33,26,29.5,61,8.6,23.4,NW,38%,4.9
Gujarat,Ahmedabad,Feb-22,54,42,35,38.5,75,5.2,18,W,15%,3.7
Uttar Pradesh,Varanasi,Jul-22,171.3,38,26,32,77,8.7,8.7,S,63%,2.4
Tamil Nadu,Chennai,Apr-21,35.7,36,27,31.5,35,6.6,8.6,NE,26%,3.7
Gujarat,Vadodara,Jul-23,83.1,29,18,23.5,45,6.7,17,SE,45%,1.8
Tamil Nadu,Tiruchirappalli,May-23,39.4,41,30,35.5,51,6.2,21.8,NW,65%,5
Uttar Pradesh,Kanpur,Oct-21,25.1,33,23,28,41,6.7,10.9,W,52%,0.4
Uttar Pradesh,Lucknow,May-24,30.9,30,23,26.5,89,9.4,24,NW,24%,0.2
Gujarat,Surat,Feb-21,25.9,38,30,34,78,4.6,11.2,N,46%,4.5
Karnataka,Hubli,Jan-22,37.2,37,27,32,75,8.4,20.4,W,59%,0.2
Gujarat,Vadodara,Jul-22,400,27,16,21.5,33,5.3,12,NE,49%,3.1
Tamil Nadu,Chennai,Sep-24,43.4,41,32,36.5,79,6.2,23.5,SW,43%,3.7
Maharashtra,Nagpur,Jul-22,71.3,36,30,33,82,8.1,20.2,SE,34%,0.3
Maharashtra,Mumbai,Jan-22,41.3,26,20,23,48,5.4,11.1,N,18%,2
Gujarat,Vadodara,Sep-24,360.6,39,34,36.5,85,4.5,8.2,W,10%,3.1
Karnataka,Bengaluru,Mar-23,31.3,28,17,22.5,58,9.9,9.5,SW,46%,1.3
Tamil Nadu,Coimbatore,Feb-21,67.5,32,26,29,83,8.5,11.8,SE,68%,4.7
Tamil Nadu,Chennai,Oct-21,50.4,27,20,23.5,37,6.5,13.9,N,80%,0.7
Gujarat,Vadodara,Aug-23,198.6,42,35,38.5,71,6,23.6,N,69%,2.4
Tamil Nadu,Madurai,Jun-22,157.7,40,28,34,70,6,11.5,S,82%,2
Maharashtra,Mumbai,Dec-24,9.1,31,22,26.5,50,8,22.9,SE,72%,4.1
Karnataka,Mysuru,Mar-24,65.5,41,32,36.5,86,9,14.3,E,81%,0.2
Gujarat,Vadodara,Feb-22,45.1,35,24,29.5,34,4.7,19.3,NE,37%,1.2
Uttar Pradesh,Agra,May-20,5.7,41,33,37,77,7.2,8.6,E,70%,2.8
Karnataka,Bengaluru,Jan-21,50.7,28,23,25.5,45,7.5,11.7,N,76%,0.6
Maharashtra,Nashik,Dec-23,19,40,30,35,41,10,24.4,NE,52%,4.8
Uttar Pradesh,Varanasi,May-20,46.8,42,31,36.5,88,5.1,23.3,E,39%,1.3
Karnataka,Bengaluru,Apr-24,45.7,28,19,23.5,76,5.1,14,S,51%,3.2
Maharashtra,Nagpur,May-20,34.4,33,21,27,65,9.6,13.3,E,63%,2
Tamil Nadu,Madurai,Sep-23,23.9,33,28,30.5,82,6.8,23.8,E,76%,1.5
Tamil Nadu,Chennai,Dec-23,27.5,39,30,34.5,32,9.8,17.1,S,23%,4.9
Tamil Nadu,Madurai,May-21,63.4,30,21,25.5,87,8.9,13.9,S,75%,0.1
Gujarat,Rajkot,Sep-24,35.4,30,24,27,59,9.9,12.7,SE,84%,0
Maharashtra,Pune,Jan-24,54.4,33,24,28.5,86,4.5,24,N,80%,3.1
Tamil Nadu,Chennai,Apr-22,6,40,34,37,49,8.2,23.2,SE,56%,3.8
Karnataka,Mangaluru,Aug-23,271.1,27,18,22.5,48,5,18.8,W,77%,2
Karnataka,Bengaluru,Oct-22,50.1,32,20,26,41,9.1,9.7,S,73%,0.8
Gujarat,Vadodara,Apr-21,33,27,15,21,68,8.7,21.9,NE,54%,0.9
Karnataka,Mangaluru,Jul-23,60.8,40,34,37,88,9.8,21.7,SW,87%,0.9
Gujarat,Rajkot,Jun-20,102.4,36,30,33,46,9.1,17.2,NE,74%,2.7
Karnataka,Bengaluru,Dec-20,66.9,33,25,29,68,9,10.1,W,31%,4.4
Maharashtra,Nagpur,Oct-24,24.6,31,19,25,83,8.2,25,SE,53%,0.5
Gujarat,Vadodara,Jun-22,86.8,34,24,29,68,9.6,14.6,E,55%,2.1
Gujarat,Rajkot,Oct-21,34.3,29,21,25,69,4.1,13.2,W,24%,3.4
Gujarat,Surat,Jul-23,394.6,26,17,21.5,46,9.2,22.8,N,58%,3.1
Tamil Nadu,Tiruchirappalli,Mar-24,65.9,39,27,33,75,6.1,18.4,W,64%,1.8
Karnataka,Mangaluru,Apr-20,7.8,31,21,26,54,4.9,24.6,N,73%,3.7
Gujarat,Vadodara,Feb-23,18.3,37,28,32.5,80,6.7,8.2,SE,12%,0
Gujarat,Vadodara,May-20,0.9,34,25,29.5,78,5.8,13.1,NW,44%,3.4
Karnataka,Bengaluru,Jun-21,214,40,32,36,41,5.5,13.6,W,61%,3.2
Karnataka,Bengaluru,Jun-22,224,39,31,35,54,7.6,19.7,E,70%,1
Tamil Nadu,Tiruchirappalli,May-20,31.5,36,24,30,71,9,16.2,N,45%,0.7
Karnataka,Mysuru,Sep-22,116,39,33,36,55,4.1,15,NW,78%,0.3
Tamil Nadu,Chennai,Oct-23,71,38,26,32,74,9.8,19.6,W,49%,4.7
Maharashtra,Mumbai,Apr-20,11.4,25,16,20.5,46,6.3,18.5,N,20%,4
Karnataka,Bengaluru,Mar-21,65.1,37,25,31,30,5.9,11.2,E,65%,2.1
Tamil Nadu,Coimbatore,Oct-21,46,35,26,30.5,84,6.8,22.8,E,85%,3.8
Uttar Pradesh,Kanpur,Nov-23,66.8,39,27,33,90,9.9,23.1,S,75%,3.9
Tamil Nadu,Madurai,Jan-20,43.8,33,27,30,57,6.4,7,W,90%,0.5
Tamil Nadu,Coimbatore,May-24,57.8,32,24,28,41,5.3,12.4,E,84%,1.2
Uttar Pradesh,Kanpur,Jun-24,24.1,37,30,33.5,43,7.8,16.8,N,44%,4.7
Maharashtra,Nashik,Mar-23,21.6,33,24,28.5,34,4.1,19.1,SE,22%,2.8
Karnataka,Bengaluru,Sep-21,394.6,42,36,39,47,8,12.9,NE,40%,4.6
Karnataka,Mangaluru,Aug-23,271.1,27,18,22.5,48,5,18.8,W,77%,2
Gujarat,Ahmedabad,Aug-21,211,36,26,31,84,6.9,24.9,N,50%,1.7
Karnataka,Hubli,Apr-20,76.5,42,36,39,88,7.8,6.3,S,83%,0.4
Maharashtra,Mumbai,May-22,24.2,27,18,22.5,90,5.4,15.6,SW,88%,0.7
Maharashtra,Nashik,Apr-21,57.7,35,25,30,42,5.9,5.7,NE,49%,1.8
Maharashtra,Nashik,Dec-23,19,40,30,35,41,10,24.4,NE,52%,4.8
Maharashtra,Mumbai,Jan-20,47.9,31,25,28,87,7.9,24.3,SW,82%,4.1
Maharashtra,Nagpur,Jul-22,71.3,36,30,33,82,8.1,20.2,SE,34%,0.3
Gujarat,Rajkot,Aug-21,282.9,36,30,33,50,9.7,5.1,S,37%,3.6
Uttar Pradesh,Lucknow,Jun-22,257.1,26,18,22,41,5.2,13.7,N,75%,3
Maharashtra,Pune,Jul-20,84.1,38,31,34.5,75,9.9,5.6,SW,79%,4
Maharashtra,Nashik,Jun-23,212.2,36,29,32.5,49,4.1,10.6,NW,33%,3.3
Maharashtra,Nagpur,May-24,59.3,25,14,19.5,30,4.7,15.7,S,80%,1.8
Gujarat,Vadodara,Nov-24,48.8,25,20,22.5,83,9.4,20.4,NE,58%,3.1
Karnataka,Mangaluru,Mar-20,15.3,34,22,28,40,6.5,18,SE,61%,4.2
Tamil Nadu,Tiruchirappalli,Jan-24,41.5,25,15,20,61,7.9,12.9,SW,61%,0.6
Karnataka,Hubli,Sep-21,110.2,31,25,28,43,8.1,16.6,S,31%,3.3
Tamil Nadu,Tiruchirappalli,Mar-21,74.4,25,18,21.5,50,5.2,24.4,S,34%,1
Uttar Pradesh,Varanasi,Aug-20,197.2,39,32,35.5,34,6.5,21.2,E,40%,1.2
Gujarat,Rajkot,Sep-24,35.4,30,24,27,59,9.9,12.7,SE,84%,0
Tamil Nadu,Tiruchirappalli,Apr-20,34.2,34,29,31.5,82,6.2,12.3,N,32%,4.9
Gujarat,Ahmedabad,Aug-24,260.8,28,19,23.5,90,9.9,23.4,W,59%,1.9
Tamil Nadu,Coimbatore,Apr-21,70.2,35,23,29,48,5.6,7,N,74%,2
Uttar Pradesh,Varanasi,Oct-22,7.1,29,23,26,56,7.6,15.7,N,37%,0.2
Tamil Nadu,Coimbatore,Nov-21,15.7,40,35,37.5,78,8.4,16.2,NE,24%,4.8
Maharashtra,Nagpur,May-21,63.8,27,17,22,43,5.8,24.2,E,50%,0.8
Maharashtra,Pune,Aug-24,65.2,30,23,26.5,89,7.5,13.8,NW,41%,3.3
Karnataka,Hubli,Jun-23,372.9,26,17,21.5,76,8.2,23.4,SE,63%,3.7
Tamil Nadu,Chennai,Mar-22,1.8,38,32,35,39,6.6,24.4,W,30%,1.9
Gujarat,Surat,Oct-21,26.6,25,13,19,68,7.5,22.3,NW,79%,1.5
Karnataka,Bengaluru,Oct-23,35.9,27,20,23.5,84,9.3,18.3,NE,44%,0.1
Maharashtra,Nashik,Nov-23,56.4,39,31,35,86,6.5,12.7,W,20%,1.1
Karnataka,Bengaluru,Dec-24,30,28,19,23.5,89,4.2,9.5,N,25%,1.1
Uttar Pradesh,Lucknow,Aug-24,208.2,32,22,27,43,6.4,5.8,SW,28%,1.8
Maharashtra,Nagpur,Aug-20,134.2,38,32,35,76,8.6,9.1,W,87%,1.7
Maharashtra,Nagpur,Mar-22,17.3,36,26,31,56,5.9,18.6,W,78%,4.1
Uttar Pradesh,Lucknow,Apr-21,61.3,42,35,38.5,81,5.5,10.5,N,37%,4.7
Tamil Nadu,Chennai,Apr-21,35.7,36,27,31.5,35,6.6,8.6,NE,26%,3.7
Maharashtra,Nashik,Mar-20,76.5,32,25,28.5,33,4.1,10.4,W,17%,3.5
Karnataka,Mysuru,Jun-24,387.2,34,27,30.5,51,9.7,11.7,E,20%,3.4
Karnataka,Mangaluru,Dec-22,23.3,27,19,23,41,4,17.4,SE,40%,3.7
Uttar Pradesh,Varanasi,Aug-21,210.7,27,19,23,53,8.2,22.2,W,57%,4.5
Maharashtra,Pune,Sep-20,289.6,31,26,28.5,88,8.1,5.4,SE,15%,1.5
Tamil Nadu,Coimbatore,Jul-21,112.2,42,30,36,36,8,18.7,NE,84%,2.9
Tamil Nadu,Madurai,Jun-22,157.7,40,28,34,70,6,11.5,S,82%,2
Uttar Pradesh,Kanpur,Jun-23,287.9,28,22,25,59,4.2,16.7,NE,24%,0.1
Gujarat,Ahmedabad,Jun-22,263.2,27,15,21,47,6.7,8.2,E,84%,0.2
Uttar Pradesh,Varanasi,Aug-21,210.7,27,19,23,53,8.2,22.2,W,57%,4.5
Uttar Pradesh,Varanasi,Oct-21,79.4,31,23,27,47,6.1,9.3,NW,70%,3.8
Tamil Nadu,Chennai,Sep-20,234.6,36,30,33,65,5.3,8.9,W,39%,3.2
Karnataka,Mysuru,May-23,66.2,33,24,28.5,87,6.3,21.6,SE,75%,4.6
Uttar Pradesh,Varanasi,Dec-20,13,37,27,32,69,9.6,24.9,E,30%,0.1
Uttar Pradesh,Varanasi,Aug-22,176.3,42,37,39.5,34,8.5,18.7,N,42%,2.1
Maharashtra,Mumbai,May-24,21.6,41,32,36.5,83,5.8,7.7,SE,61%,0.1
Gujarat,Rajkot,Mar-20,2.8,26,19,22.5,53,7.5,18.2,SW,48%,1.8
Maharashtra,Mumbai,Feb-21,31.5,41,29,35,38,9,11.5,W,70%,1.9
Uttar Pradesh,Varanasi,Apr-23,43.8,41,29,35,87,8.6,12.9,S,78%,1.9
Karnataka,Hubli,May-23,71.9,34,25,29.5,30,4.8,16.3,SE,47%,1.8
Tamil Nadu,Madurai,Aug-24,165.7,26,19,22.5,90,9.8,15,NW,49%,1.7
Tamil Nadu,Tiruchirappalli,Oct-20,26.2,41,36,38.5,36,8.1,8.2,SE,79%,4.7
Karnataka,Mysuru,Nov-21,27.2,30,20,25,44,7.9,8.7,SE,28%,2.2
Karnataka,Mysuru,May-23,66.2,33,24,28.5,87,6.3,21.6,SE,75%,4.6
Uttar Pradesh,Agra,Jan-24,78.1,29,18,23.5,83,6,20.3,SE,54%,2.2
Maharashtra,Nashik,Oct-24,62.5,29,17,23,53,6.4,12.2,N,85%,3.7
Tamil Nadu,Madurai,Nov-22,75.1,35,30,32.5,76,7.8,15.1,S,38%,2.8
Gujarat,Rajkot,Sep-22,346.6,25,14,19.5,71,9.6,22.6,W,57%,3.2
Karnataka,Mangaluru,Nov-24,11.7,40,31,35.5,78,6.2,17.3,E,79%,3
Karnataka,Bengaluru,Dec-21,3.4,38,29,33.5,54,5.9,15.5,SW,67%,3
Maharashtra,Nashik,Jul-20,166.4,27,21,24,46,7.1,24.8,NE,33%,4.9
Gujarat,Rajkot,Aug-24,355.2,42,32,37,89,6.8,18.2,SW,40%,4.1
Uttar Pradesh,Kanpur,Oct-20,4.8,35,23,29,33,5.7,14.8,SE,61%,0.6
Karnataka,Mangaluru,Jan-23,22.6,34,27,30.5,62,4.6,5.7,SE,90%,1.4
Gujarat,Rajkot,May-23,28.9,37,27,32,70,8.9,12.7,E,54%,4.5
Karnataka,Mangaluru,Aug-22,170.8,36,24,30,67,5.6,6.7,W,84%,1.6
Tamil Nadu,Chennai,May-23,57.2,41,36,38.5,79,4.8,12.1,NE,43%,0.6
Maharashtra,Pune,Jun-21,9.6,33,23,28,65,6.2,6,NW,20%,2.4
Karnataka,Bengaluru,Mar-20,34.2,28,21,24.5,30,6.9,7.2,E,75%,0.3
Gujarat,Surat,Jun-22,17.5,30,22,26,53,9.1,19.8,SE,85%,1.2
Karnataka,Hubli,Jan-22,37.2,37,27,32,75,8.4,20.4,W,59%,0.2
Gujarat,Rajkot,Sep-22,346.6,25,14,19.5,71,9.6,22.6,W,57%,3.2
Tamil Nadu,Tiruchirappalli,Nov-22,17.4,34,27,30.5,79,4.4,18.3,NE,68%,1.6
Gujarat,Surat,Aug-22,157,38,27,32.5,33,7.7,19.5,S,24%,0.2
Maharashtra,Mumbai,Nov-23,2,26,21,23.5,70,9.9,23.7,NE,28%,4.5
Tamil Nadu,Chennai,May-24,24.5,38,32,35,49,8.6,13.4,W,72%,4.4
Tamil Nadu,Tiruchirappalli,Feb-20,61.7,30,24,27,77,5.5,16.1,W,41%,3.1
Maharashtra,Nagpur,Aug-22,323.3,26,21,23.5,47,5.8,9,SE,55%,3.4
Gujarat,Vadodara,Jul-23,83.1,29,18,23.5,45,6.7,17,SE,45%,1.8
Tamil Nadu,Tiruchirappalli,Mar-24,65.9,39,27,33,75,6.1,18.4,W,64%,1.8
Karnataka,Hubli,Jun-24,214.2,41,32,36.5,80,9,23.2,NE,13%,2
Karnataka,Mysuru,Aug-22,201.6,28,17,22.5,53,5.3,5.3,NE,53%,1.2
Gujarat,Vadodara,Dec-22,31.3,27,19,23,33,8,24,W,77%,1.5
Uttar Pradesh,Agra,Sep-21,213.1,41,35,38,60,9,22.2,NW,63%,1.7
Karnataka,Hubli,Oct-23,57.6,25,17,21,66,6.9,19.7,SE,82%,0.3
Uttar Pradesh,Lucknow,Mar-24,11.8,27,15,21,30,6.6,8.1,S,52%,2.5
Gujarat,Ahmedabad,Jul-23,378.7,38,27,32.5,33,6.4,16,E,45%,4.8
Uttar Pradesh,Varanasi,Dec-24,37.7,40,31,35.5,32,5.9,15.3,SE,62%,2.2
Maharashtra,Nashik,Jan-22,47.8,39,30,34.5,62,6.6,10,W,41%,3.7
Karnataka,Mysuru,Oct-23,36.8,36,24,30,60,9.3,18.5,N,20%,4
Karnataka,Mangaluru,Nov-20,63,35,24,29.5,50,9.3,22.3,W,47%,3.1
Karnataka,Bengaluru,Jul-23,366,41,31,36,83,5.5,10,S,68%,2.8
Tamil Nadu,Madurai,Aug-23,243,29,22,25.5,71,4.7,6.1,N,33%,1.4
Tamil Nadu,Chennai,Jul-20,298.3,39,31,35,82,7.3,22.1,W,81%,1.5
Gujarat,Rajkot,May-20,18.8,25,17,21,90,6.9,16.1,SW,22%,1.1
Maharashtra,Nagpur,Feb-22,46.2,27,21,24,77,6.3,12.5,SE,83%,1.3
Uttar Pradesh,Lucknow,Nov-20,61.6,35,30,32.5,53,8.1,10.2,NW,75%,2.3
Karnataka,Mangaluru,Oct-24,41.9,35,28,31.5,87,8.9,11.8,E,73%,0.1
Maharashtra,Nagpur,Jul-21,102.7,38,31,34.5,42,4.3,11.4,SW,24%,3.2
Karnataka,Mysuru,Nov-24,70.2,37,31,34,47,7.3,18.7,N,38%,4
Tamil Nadu,Coimbatore,Feb-24,21.2,36,24,30,50,5.3,20.4,SE,76%,0.9
Tamil Nadu,Chennai,Apr-22,6,40,34,37,49,8.2,23.2,SE,56%,3.8
Maharashtra,Pune,May-22,22.6,40,31,35.5,72,7.2,19,NW,23%,0.5
Gujarat,Ahmedabad,May-20,19.9,31,24,27.5,32,8.3,13.5,NE,28%,0.8
Maharashtra,Mumbai,Apr-23,59.4,39,31,35,55,9.2,6.7,W,89%,1.2
Uttar Pradesh,Kanpur,Apr-22,78.9,33,28,30.5,48,7.3,5.2,NW,48%,2.6
Uttar Pradesh,Agra,Aug-21,98.2,39,29,34,88,4.2,18.6,SW,77%,0.3
Gujarat,Vadodara,Jul-23,83.1,29,18,23.5,45,6.7,17,SE,45%,1.8
Uttar Pradesh,Lucknow,Apr-23,42.7,40,32,36,51,8.9,5.6,SE,34%,2.9
Uttar Pradesh,Lucknow,Aug-20,173.6,27,17,22,74,6.7,14.8,NE,24%,0.9
Uttar Pradesh,Varanasi,Sep-23,322.3,38,29,33.5,35,5.1,23.3,E,34%,1.4
Karnataka,Bengaluru,Feb-23,71.9,28,20,24,67,4.9,20.4,NE,42%,3.7
Tamil Nadu,Madurai,Sep-23,23.9,33,28,30.5,82,6.8,23.8,E,76%,1.5
Maharashtra,Mumbai,Feb-21,31.5,41,29,35,38,9,11.5,W,70%,1.9
Uttar Pradesh,Kanpur,Dec-23,12.6,35,27,31,68,6.4,18,E,73%,2.9
Tamil Nadu,Coimbatore,Dec-23,26.8,32,27,29.5,46,4.2,9.3,NE,56%,3.3
Uttar Pradesh,Lucknow,Jul-22,350.4,28,23,25.5,76,5.5,14.6,SE,81%,4.1
Karnataka,Mangaluru,Jul-24,112.6,31,25,28,81,5.5,20.5,S,18%,3.5
Uttar Pradesh,Kanpur,Jul-23,190.7,40,33,36.5,66,8.5,10.1,S,78%,3.4
Gujarat,Rajkot,Jul-20,71.6,35,29,32,59,9.8,17,SW,53%,0.1
Maharashtra,Pune,Jul-23,273.6,42,33,37.5,32,7.3,12.9,W,62%,3.6
Karnataka,Mangaluru,May-24,20.8,41,30,35.5,61,7.1,13.4,E,47%,3.6
Tamil Nadu,Coimbatore,May-24,57.8,32,24,28,41,5.3,12.4,E,84%,1.2
Tamil Nadu,Coimbatore,Mar-24,21.7,34,27,30.5,87,7.2,6.8,NW,69%,0.6
Uttar Pradesh,Kanpur,Jun-24,24.1,37,30,33.5,43,7.8,16.8,N,44%,4.7
Maharashtra,Nashik,Mar-24,12.2,36,30,33,30,5.8,9.5,NW,24%,2.8
Maharashtra,Mumbai,Sep-20,391.3,33,24,28.5,60,9.9,15.6,NW,68%,2.1
Gujarat,Rajkot,Aug-23,387.8,29,20,24.5,35,5.9,21.1,NE,64%,0.6
Gujarat,Vadodara,Dec-24,11.2,36,26,31,74,6.5,19.4,W,50%,1
Gujarat,Rajkot,Mar-23,75.1,27,21,24,54,5.3,17.9,S,67%,3.7
Tamil Nadu,Coimbatore,Apr-21,70.2,35,23,29,48,5.6,7,N,74%,2
Tamil Nadu,Chennai,Aug-21,317.3,41,30,35.5,37,6.4,9,SW,63%,0.7
Karnataka,Mysuru,Sep-22,116,39,33,36,55,4.1,15,NW,78%,0.3
Maharashtra,Mumbai,Nov-24,62.2,34,28,31,51,5,20.6,N,74%,2.3
Gujarat,Ahmedabad,Sep-20,203,30,23,26.5,87,8.5,8.5,SE,75%,0.2
Gujarat,Vadodara,Jun-24,132.8,36,29,32.5,60,5.6,10.2,E,90%,2.9
Tamil Nadu,Chennai,Jan-20,41.4,39,34,36.5,50,7.4,14.7,NE,13%,0.9
Gujarat,Vadodara,Aug-24,397.1,32,26,29,84,6.1,6.3,SW,74%,3.2
Gujarat,Rajkot,Jul-21,206.4,26,16,21,49,5.3,19.5,SE,16%,2.5
Tamil Nadu,Chennai,Jan-20,41.4,39,34,36.5,50,7.4,14.7,NE,13%,0.9
Gujarat,Rajkot,May-21,3,25,15,20,82,6.9,22.5,NE,56%,2.1
Tamil Nadu,Coimbatore,Jul-23,156.3,40,28,34,85,8.7,11,SW,18%,4.8
Gujarat,Ahmedabad,Apr-24,45.5,30,24,27,82,6.4,19.1,E,73%,2.8
Tamil Nadu,Coimbatore,Apr-21,70.2,35,23,29,48,5.6,7,N,74%,2
Karnataka,Hubli,Dec-21,10,42,36,39,75,7.1,16.2,W,10%,0.5
Uttar Pradesh,Kanpur,Apr-24,28,25,15,20,61,6.4,14.7,N,19%,0.5
Maharashtra,Nagpur,Nov-21,55.1,31,25,28,39,5.3,18.9,E,61%,1.1
Karnataka,Bengaluru,Dec-23,5.2,39,33,36,55,8.3,10.1,SW,71%,0.3
Gujarat,Ahmedabad,Jul-20,25.8,36,24,30,76,4.9,21.7,NE,33%,3.9
Tamil Nadu,Coimbatore,Dec-20,33,39,31,35,79,7.1,21.7,SW,45%,0
Maharashtra,Mumbai,Oct-22,48,41,32,36.5,38,6.4,17.9,NW,27%,2.4
Gujarat,Rajkot,Jan-23,11.8,35,26,30.5,61,9.1,8.9,SW,68%,2.6
Karnataka,Mangaluru,Oct-21,22.5,39,28,33.5,71,6.7,21.4,NW,75%,0.1
Karnataka,Hubli,Dec-22,63.2,28,19,23.5,65,5.3,11.2,N,86%,2.5
Tamil Nadu,Tiruchirappalli,May-24,55.7,27,16,21.5,67,4.7,18.6,E,66%,0.6
Karnataka,Mysuru,Aug-20,96.2,37,30,33.5,82,9,13.4,SE,70%,1.4
Uttar Pradesh,Agra,Dec-22,26.5,42,30,36,32,5.8,9.8,E,26%,4.4
Tamil Nadu,Madurai,Oct-24,61,26,16,21,79,5.8,6,NE,45%,4.7
Tamil Nadu,Coimbatore,Aug-20,309.8,27,16,21.5,73,6.9,12.8,N,19%,3.8
Karnataka,Mysuru,Nov-23,52.9,32,27,29.5,89,8.3,24.1,NW,58%,0.7
Karnataka,Hubli,Jun-22,356.5,26,20,23,79,6.9,14.9,S,59%,3.9
Uttar Pradesh,Varanasi,Apr-22,78.6,25,19,22,85,8.1,17.6,E,43%,3.2
Uttar Pradesh,Kanpur,May-23,20.1,31,20,25.5,85,5.2,10,SE,55%,4.6
Maharashtra,Nashik,Aug-23,17.1,28,19,23.5,87,9.4,21.6,SW,62%,4.3
Karnataka,Mysuru,Oct-24,24.8,29,20,24.5,90,7.9,23,NW,13%,3.7
